v_min,v_max,gamma,r2,std_err,n_stars
250,550,6.290103201990087,0.9770966113794213,0.20080520717133654,8702
250,500,6.59654437710782,0.9798122490909422,0.19743543771481722,8594
250,450,6.417172934329139,0.9722561330608892,0.22603358638311688,8450
250,400,5.56414341824292,0.9787123315892051,0.17110823667800495,8146
260,550,6.394429071224715,0.9691640218339711,0.2378307905131285,7357
260,500,6.748521203502059,0.9812077616392252,0.19473923851992592,7249
260,450,6.607328901608279,0.9730279681566407,0.22938033246287662,7105
260,400,5.733621302169448,0.9758649720125638,0.1880157041678512,6801
270,550,6.490208484429468,0.9618076858532921,0.269673700831134,6180
270,500,6.885962341668234,0.9794165224408806,0.20814998663190815,6072
270,450,6.798251434219903,0.9695159323993332,0.2513577544107873,5928
270,400,5.8555958745402705,0.9746761401547377,0.19680764353494232,5624
280,550,6.503685575427253,0.9629193565401026,0.2661180247811493,5202
280,500,7.022200630118675,0.9793220851875293,0.21276486494197241,5094
280,450,6.992682091081513,0.96982250159738,0.25720260089599956,4950
280,400,6.016204781666262,0.9670483208580434,0.2315652461259272,4646
290,550,6.560094973231484,0.9574416876128875,0.2883913575491166,4392
290,500,7.1977532465983485,0.9741314952888148,0.24457378596801324,4284
290,450,7.206332147927447,0.9731232649855736,0.24972078088200078,4140
290,400,6.2547913568636115,0.9625846289541665,0.2571310222484746,3836
300,550,6.523110130540606,0.9573794211100223,0.2869844865905377,3605
300,500,7.2408689327123446,0.9729335026491164,0.25182637737971886,3497
300,450,7.342736014280661,0.9674742077008862,0.28072962209019425,3353
300,400,6.162341247749787,0.9433769983051414,0.3148006562270504,3049
320,550,6.551900839687502,0.944771270608061,0.33031065610830346,2560
320,500,7.481733207606909,0.9734045430026423,0.25786674827744,2452
320,450,7.944328599435423,0.9618613332197113,0.3298525166063044,2308
320,400,6.8511990495023065,0.9132320461992093,0.4403436863731622,2004
